saved_filename,feature_global_id,attachment_global_id,GlobalID,participant_guess,actual_water_quality,guess_right_wrong
Feature_63_Attachment_49_photo-20240607-082030.jpg,01538529-536d-47b2-8bf0-80ca7224ac2d,2543cf0d-c60b-4542-b5d5-ea797a9e5f1e,01538529-536d-47b2-8bf0-80ca7224ac2d,Good,Good,Right
Feature_101_Attachment_84_photo-20240607-105456.jpg,d664aa60-4330-4010-9018-08edffc28104,6417009f-ee58-4d6c-9105-563f5fd9e112,d664aa60-4330-4010-9018-08edffc28104,Poor / Moderate,Poor,Right
Feature_125_Attachment_107_photo-20240607-134116.jpg,94c5ed90-f941-4e23-b2e0-6fc5586503af,adf4eb37-4636-41ca-9175-c3168d4039b8,94c5ed90-f941-4e23-b2e0-6fc5586503af,Good,Poor,Wrong
Feature_51_Attachment_39_photo-20240607-064834.jpg,bb6a1714-409d-4daa-8c41-dd22ffa24b89,c7b740b1-4aab-4ebb-bfd1-bbe668a66f20,bb6a1714-409d-4daa-8c41-dd22ffa24b89,Good,Good,Right
Feature_103_Attachment_86_photo-20240607-112424.jpg,16ae0d37-6a35-4be5-8ce0-a1f00b155bd5,b59617c8-3e3b-4ab3-8f76-c33cd8f7de56,16ae0d37-6a35-4be5-8ce0-a1f00b155bd5,Poor / Moderate,Moderate,Right
Feature_18_Attachment_11_photo-20240602-081305.jpg,fcc0600f-765f-4077-98d6-4b7e63b8fc2e,0935c3a3-261a-42ce-a1bc-2c7aa8c63d7a,fcc0600f-765f-4077-98d6-4b7e63b8fc2e,Good,Poor,Wrong
Feature_22_Attachment_15_photo-20240602-140453.jpg,57810c15-3a4a-45c1-a410-d49dd62c43db,24654c05-6997-4ba7-b0f0-52808f9def52,57810c15-3a4a-45c1-a410-d49dd62c43db,Good,Good,Right
Feature_92_Attachment_76_photo-20240607-093048.jpg,a0c18d57-26e5-4279-885f-c7a2fb80373a,f326ed2b-64e6-41fc-a8c0-3172a4859854,a0c18d57-26e5-4279-885f-c7a2fb80373a,Poor / Moderate,Poor,Right
Feature_84_Attachment_69_IMG_1528.jpeg,b1018bdf-2416-4fee-8193-7da9259b4e82,4351e695-df80-43b2-80af-1ae4d3fad160,b1018bdf-2416-4fee-8193-7da9259b4e82,Good,Poor,Wrong
Feature_89_Attachment_74_photo-20240605-195432.JPG,7974d880-6944-4fde-95ba-176ac42cceaa,d3677d34-048f-468a-8bb2-8e4e4efd63c0,7974d880-6944-4fde-95ba-176ac42cceaa,Good,Moderate,Wrong
Feature_99_Attachment_82_photo-20240607-103651.jpg,82934161-a578-4c12-a53a-1f98c949f3fb,e7f4e935-7120-423c-b0c6-bf00fdf511e6,82934161-a578-4c12-a53a-1f98c949f3fb,Good,Moderate,Wrong
Feature_15_Attachment_8_photo-20240531-072047.jpg,9ab3ef19-b92e-495d-8330-e5cab4f52139,93b0b358-2840-496f-9c50-beb08e550091,9ab3ef19-b92e-495d-8330-e5cab4f52139,Good,Poor,Wrong
Feature_109_Attachment_92_photo-20240607-122915.jpg,de12d304-3ddc-4e2d-8ce8-58c0372c7a0d,00f6fa69-9b02-4eee-a0e5-8f7e471bbc3b,de12d304-3ddc-4e2d-8ce8-58c0372c7a0d,Good,Good,Right
Feature_116_Attachment_98_photo-20240607-121603.jpg,603c0960-6965-4787-b4c8-7db7377e4cc5,a31c0597-7d14-4761-bf04-d9ce1c9cc136,603c0960-6965-4787-b4c8-7db7377e4cc5,Good,Poor,Wrong
Feature_60_Attachment_47_photo-20240607-081448.jpg,cb142ec9-8956-43b2-ae17-3faefc69d95e,6bfbebd2-3deb-48b5-88e6-64dccc36810c,cb142ec9-8956-43b2-ae17-3faefc69d95e,Good,Poor,Wrong
Feature_80_Attachment_65_photo-20240607-092911.jpg,5e1ab00e-0ee9-4cba-a5c1-dbe63590f020,034dd6e9-5365-483e-b130-c7a4e2d79e94,5e1ab00e-0ee9-4cba-a5c1-dbe63590f020,Good,Moderate,Wrong
Feature_47_Attachment_36_photo-20240606-160051.jpg,30703c2d-0d34-4fa6-a2c7-b4c08d6e48c1,ad5f7729-043d-454f-b07e-e9fc6c3f88d0,30703c2d-0d34-4fa6-a2c7-b4c08d6e48c1,Good,Poor,Wrong
Feature_82_Attachment_67_photo-20240607-094717.jpg,e67fb3d8-37c7-4da6-944d-6743b6a29f5c,e082294b-bfc3-46f9-a1a6-f7eaa7702414,e67fb3d8-37c7-4da6-944d-6743b6a29f5c,Poor / Moderate,Poor,Right
Feature_19_Attachment_12_photo-20240602-084050.jpg,dc238938-2ffb-4af0-b2b6-615f568c258e,89578788-5631-46db-a800-234b80f9e849,dc238938-2ffb-4af0-b2b6-615f568c258e,Poor / Moderate,Good,Wrong
Feature_78_Attachment_63_photo-20240607-092234.jpg,07bbb1cd-121b-4fff-bb56-709a117a43bf,0fbfe628-e425-4fcf-8968-4463eb8410a9,07bbb1cd-121b-4fff-bb56-709a117a43bf,Poor / Moderate,Poor,Right
Feature_120_Attachment_102_photo-20240607-101258.jpg,a6bde54c-0456-4b16-98d8-a4e56de86a5c,b13ff9a3-f8da-4ea7-8446-66efc0324589,a6bde54c-0456-4b16-98d8-a4e56de86a5c,Poor / Moderate,Poor,Right
Feature_45_Attachment_34_photo-20240606-134113.jpg,026b37e1-d376-4222-b623-87106790b459,38b4fb77-9989-49b5-894b-a944839405dc,026b37e1-d376-4222-b623-87106790b459,Good,Good,Right
Feature_100_Attachment_83_photo-20240607-110152.jpg,1eeeec23-dc37-479c-bd4e-61520afbbd9b,d8a8d5c8-f5bb-4f71-81ff-39c11b25bfa8,1eeeec23-dc37-479c-bd4e-61520afbbd9b,Poor / Moderate,Poor,Right
Feature_16_Attachment_9_photo-20240531-184342.jpg,7065d44e-868d-41a8-bc29-3e380d44a284,967fdeb6-6016-43ed-954a-e2778dd0fe31,7065d44e-868d-41a8-bc29-3e380d44a284,Good,Good,Right
Feature_57_Attachment_44_1000004784.jpg,b604aad0-1692-4d03-8201-a4c530bfe1c8,9c3ea0d1-6c33-4d74-80f0-0b817a9ca24c,b604aad0-1692-4d03-8201-a4c530bfe1c8,Good,Good,Right
Feature_85_Attachment_70_IMG20240607102246.jpg,803ead61-eab1-46c7-8596-ab9ec4951b17,a204c986-00d0-4ccc-8d1a-211f075e2855,803ead61-eab1-46c7-8596-ab9ec4951b17,Good,Poor,Wrong
Feature_50_Attachment_38_photo-20240607-063055.jpg,51860420-94aa-4765-939f-fbe6186402bc,1dd9e576-dd0a-4b3b-a84f-ae7ef7cfda1e,51860420-94aa-4765-939f-fbe6186402bc,Good,Good,Right
Feature_58_Attachment_45_photo-20240607-074414.jpg,a800ad33-afb1-40c8-a664-eb0a8c9a34ba,59ada838-b735-4140-b7aa-e92e17ab140a,a800ad33-afb1-40c8-a664-eb0a8c9a34ba,Good,Poor,Wrong
Feature_98_Attachment_81_photo-20240607-105156.jpg,73f3f25e-5602-4054-bfac-2444e5756a2b,6be38001-18a2-4f7a-acfa-d56b049a5dc6,73f3f25e-5602-4054-bfac-2444e5756a2b,Good,Moderate,Wrong
